Time,Interest Value
0,0
0.5000001,0
0.9999996,0
1.499999,0
1.999999,0
2.499998,0
2.999998,0
3.499997,0
3.999997,0
4.499997,0
4.999996,0
5.499996,0
5.999995,0
6.499995,0
6.999994,0
7.499994,0
7.999993,0
8.500005,0
9.000016,0
9.500028,0
10.00004,0
10.50005,0
11.00006,0
11.50007,0
12.00008,0
12.5001,0
13.00011,0
13.50012,9.996275E-05
14.00013,9.996448E-05
14.50014,9.996275E-05
15.00015,0.001422139
15.50016,0.01362276
16.00018,0.07009048
16.50019,0
17.0002,0.2277029
17.50021,0.294373
18.00022,0.3627938
18.50023,0
19.00024,0.1979244
19.50026,0.1989857
20.00027,0.1975084
20.50028,0.1976083
21.00029,0.1967591
21.5003,0.1965315
22.00031,0.1982363
22.50032,0
23.00034,0
23.50035,0
24.00036,0
24.50037,0
25.00038,0
25.50039,0
26.0004,0
26.50042,0
27.00043,0
27.50044,0
28.00045,0
28.50046,0
29.00047,0
29.50048,0
30.0005,0
30.50051,0
31.00052,0
31.50053,0
32.00054,0.1996223
32.50055,0.1990387
33.00056,0.1994034
33.50058,0.1977025
34.00059,0.1968744
34.5006,0.1964442
35.00061,0.197666
35.50062,0.1967627
36.00063,0.1965902
36.50064,0.1987932
37.00066,0
37.50067,0
38.00068,0
38.50069,0
39.0007,0
39.50071,0
40.00072,0
40.50074,0
41.00075,0
41.50076,0
42.00077,0
42.50078,0
43.00079,0
43.5008,0
44.00082,0
44.50083,0
45.00084,0
45.50085,0
46.00086,0
46.50087,0
47.00089,0.199111
47.5009,0
48.00091,0
48.50092,0.199331
49.00093,0.1976003
49.50094,0.1986363
50.00095,0
50.50097,0
51.00098,0
51.50099,0
52.001,0
52.50101,0.1999729
53.00102,0
53.50103,0
54.00105,0
54.50106,0
55.00107,0
55.50108,0.1961468
56.00109,0
56.5011,0
57.00111,0
57.50113,0
58.00114,0
58.50115,0
59.00116,0
59.50117,0
60.00118,0
60.50119,0
61.00121,0
61.50122,0
62.00123,0
62.50124,0
63.00125,0
63.50126,0
64.00127,0
64.50119,0.1995717
65.00111,0.1987138
65.50102,0.1987114
66.00094,0.1994614
66.50085,0.1982355
67.00077,0.198766
67.50069,0.1983107
68.0006,0.1993147
68.50052,0.1989342
69.00043,0.1983913
69.50035,0
70.00027,0
70.50018,0
71.0001,0
71.50002,0
71.99993,0
72.49985,0
72.99976,0
73.49968,0
73.9996,0
74.49951,0
74.99943,0
75.49934,0
75.99926,0
76.49918,0
76.99909,0
77.49901,0.199563
77.99892,0
78.49884,0
78.99876,0
79.49867,0
79.99859,0
80.4985,0
80.99842,0.1980582
81.49834,0
81.99825,0.1976629
82.49817,0.1977418
82.99809,0.1979232
83.498,0.1979828
83.99792,0.1981583
84.49783,0.1988188
84.99775,0.1995933
85.49767,0
85.99758,0
86.4975,0
86.99741,0
87.49733,0
87.99725,0
88.49716,0
88.99708,0
89.49699,0
89.99691,0
90.49683,0
90.99674,0
91.49666,0
91.99657,0
92.49649,0
92.99641,0
93.49632,0
93.99624,0
94.49615,0
94.99607,0.1980925
95.49599,0
95.9959,0.1989463
96.49582,0.1995138
96.99574,0.1988165
97.49565,0.1984122
97.99557,0.1996712
98.49548,0
98.9954,0.1986454
99.49532,0.1980549
99.99523,0.1981203
100.4951,0
100.9951,0
101.495,0
101.9949,0
102.4948,0
102.9947,0
103.4946,0
103.9946,0
104.4945,0
104.9944,0
105.4943,0.1987455
105.9942,0
106.4941,0
106.9941,0
107.494,0
107.9939,0
108.4938,0
108.9937,0
109.4936,0
109.9936,0
110.4935,0
110.9934,0
111.4933,0
111.9932,0
112.4931,0
112.993,0
113.493,0
113.9929,0
114.4928,0
114.9927,0
115.4926,0
115.9925,0
116.4925,0.199866
116.9924,0
117.4923,0.1993527
117.9922,0
118.4921,0.1998013
118.992,0
119.492,0
119.9919,0
120.4918,0
120.9917,0.1981623
121.4916,0.1989516
121.9915,0.1977129
122.4915,0.1983411
122.9914,0
123.4913,0
123.9912,0
124.4911,0
124.991,0
125.491,0
125.9909,0
126.4908,0
126.9907,0
127.4906,0
127.9905,0
128.4906,0
128.9907,0
129.4908,0
129.991,0
130.4911,0
130.9912,0
131.4913,0
131.9914,0
132.4915,0
132.9916,0
133.4917,0
133.9918,0
134.4919,0
134.992,0
135.4921,0.1997356
135.9922,0
136.4923,0
136.9924,0
137.4926,0
137.9927,0
138.4928,0
138.9929,0
139.493,0.1977329
139.9931,0.1982901
140.4932,0.1983872
140.9933,0
141.4934,0
141.9935,0
142.4936,0
142.9937,0
143.4938,0
143.9939,0
144.494,0
144.9942,0
145.4943,0
145.9944,0
146.4945,0
146.9946,0
147.4947,0
147.9948,0
148.4949,0
148.995,0.1996272
149.4951,0.1985682
149.9952,0.1978826
150.4953,0.1968318
150.9954,0.1963856
151.4955,0.1962176
151.9957,0.1961539
152.4958,0.1964087
152.9959,0.1981587
153.496,0
153.9961,0
154.4962,0
154.9963,0
155.4964,0
155.9965,0
156.4966,0
156.9967,0
157.4968,0
157.9969,0
158.497,0
158.9971,0
159.4973,0
159.9974,0.197918
160.4975,0
160.9976,0.1976066
161.4977,0.1967192
161.9978,0.1979843
162.4979,0.1990269
162.998,0
163.4981,0
163.9982,0
164.4983,0
164.9984,0
165.4985,0
165.9986,0
166.4987,0
166.9989,0
167.499,0
167.9991,0
168.4992,0
168.9993,0
169.4994,0
169.9995,0
170.4996,0
170.9997,0
171.4998,0
171.9999,0
172.5,0
173.0001,0
173.5002,0
174.0004,0
174.5005,0.199424
175.0006,0
175.5007,0
176.0008,0
176.5009,0
177.001,0
177.5011,0
178.0012,0
178.5013,0
179.0014,0
179.5015,0
180.0016,0
